player_name,ranking,date
Joey Rive,140,1990-01-15
Dan Cassidy,141,1990-01-15
Tarik Benhabiles,142,1990-01-15
Brad Drewett,143,1990-01-15
Henri Leconte,144,1990-01-15
Chris Pridham,145,1990-01-15
Simon Youl,146,1990-01-15
Gianluca Pozzi,147,1990-01-15
Simone Colombo,148,1990-01-15
Brad Pearce,149,1990-01-15
Marty Davis,150,1990-01-15
Todd Woodbridge,151,1990-01-15
Massimo Cierro,152,1990-01-15
Javier Frana,153,1990-01-15
Bong-Soo Kim,154,1990-01-15
Jeff Tarango,155,1990-01-15
Gustavo Giussani,156,1990-01-15
Nuno Marques,157,1990-01-15
Johan Carlsson,158,1990-01-15
Danie Visser,159,1990-01-15
Steve Guy,160,1990-01-15
Aki Rahunen,161,1990-01-15
Miguel Nido,162,1990-01-15
Alexander Mronz,163,1990-01-15
Mario Tabares,164,1990-01-15
Magnus Larsson,165,1990-01-15
Roberto Arguello,166,1990-01-15
Jose-Luis Aparisi,167,1990-01-15
Chris Bailey,168,1990-01-15
Jonathan Canter,169,1990-01-15
Neil Broad,170,1990-01-15
Nick Brown,171,1990-01-15
Ricki Osterthun,172,1990-01-15
Danilo Marcelino,173,1990-01-15
Joao Cunha-Silva,174,1990-01-15
Sergio Casal,175,1990-01-15
Nicklas Utgren,176,1990-01-15
Philip Johnson,177,1990-01-15
Philippe Pech,178,1990-01-15
Peter Ballauff,179,1990-01-15
Fernando Roese,180,1990-01-15
Robbie Weiss,181,1990-01-15
Bart Wuyts,182,1990-01-15
Karsten Braasch,183,1990-01-15
Mauro Menezes,184,1990-01-15
Richard Vogel,185,1990-01-15
Peter Doohan,186,1990-01-15
Neil Borwick,187,1990-01-15
Bruce Derlin,188,1990-01-15
Bryan Shelton,189,1990-01-15
Nduka Odizor,190,1990-01-15
Paul Vojtischek,191,1990-01-15
David Engel,192,1990-01-15
Claudio Mezzadri,193,1990-01-15
Christian Miniussi,194,1990-01-15
Mark Kaplan,195,1990-01-15
Michael Robertson,196,1990-01-15
Francisco Yunis,197,1990-01-15
Olivier Soules,198,1990-01-15
Gabriel Markus,199,1990-01-15
Josef Cihak,200,1990-01-15
Ivan Lendl,1,1990-01-22
Boris Becker,2,1990-01-22
Stefan Edberg,3,1990-01-22
Brad Gilbert,4,1990-01-22
John McEnroe,5,1990-01-22
Michael Chang,6,1990-01-22
Aaron Krickstein,7,1990-01-22
Andre Agassi,8,1990-01-22
Jay Berger,9,1990-01-22
Alberto Mancini,10,1990-01-22
Martin Jaite,11,1990-01-22
Tim Mayotte,12,1990-01-22
Yannick Noah,13,1990-01-22
Carl-Uwe Steeb,14,1990-01-22
Mats Wilander,15,1990-01-22
Andrei Chesnokov,16,1990-01-22
Emilio Sanchez,17,1990-01-22
Andres Gomez,18,1990-01-22
Jimmy Connors,19,1990-01-22
Horst Skoff,20,1990-01-22
Kevin Curren,21,1990-01-22
Sergi Bruguera,22,1990-01-22
Jim Courier,23,1990-01-22
Thomas Muster,24,1990-01-22
Miloslav Mecir Sr.,25,1990-01-22
Jaime Yzaga,26,1990-01-22
Jan Gunnarsson,27,1990-01-22
Christo Van Rensburg,28,1990-01-22
Jakob Hlasek,29,1990-01-22
Goran Ivanisevic,30,1990-01-22
Guillermo Perez-Roldan,31,1990-01-22
Magnus Gustafsson,32,1990-01-22
Jim Grabb,33,1990-01-22
Jordi Arrese,34,1990-01-22
Paolo Cane,35,1990-01-22
Wally Masur,36,1990-01-22
Ronald Agenor,37,1990-01-22
Scott Davis,38,1990-01-22
Amos Mansdorf,39,1990-01-22
Marcelo Filippini,40,1990-01-22
Anders Jarryd,41,1990-01-22
Jonas Svensson,42,1990-01-22
Goran Prpic,43,1990-01-22
Luiz Mattar,44,1990-01-22
Javier Sanchez,45,1990-01-22
David Wheaton,46,1990-01-22
Darren Cahill,47,1990-01-22
Richey Reneberg,48,1990-01-22
Paul Chamberlin,49,1990-01-22
Paul Annacone,50,1990-01-22
Eric Jelen,51,1990-01-22
Jimmy Arias,52,1990-01-22
Kelly Evernden,53,1990-01-22
Omar Camporese,54,1990-01-22
Guy Forget,55,1990-01-22
Pete Sampras,56,1990-01-22
Jean-Philippe Fleurian,57,1990-01-22
Todd Witsken,58,1990-01-22
Jim Pugh,59,1990-01-22
Martin Strelba,60,1990-01-22
Karel Novacek,61,1990-01-22
Tomas Carbonell,62,1990-01-22
Mikael Pernfors,63,1990-01-22
Mark Koevermans,64,1990-01-22
Alexander Volkov,65,1990-01-22
Niclas Kroon,66,1990-01-22
Michiel Schapers,67,1990-01-22
Marc Rosset,68,1990-01-22
Juan Aguilera,69,1990-01-22
Lawson Duncan,70,1990-01-22
Andrew Sznajder,71,1990-01-22
Jens Woehrmann,72,1990-01-22
Ramesh Krishnan,73,1990-01-22
Dan Goldie,74,1990-01-22
Glenn Layendecker,75,1990-01-22
Jerome Potier,76,1990-01-22
Paul Haarhuis,77,1990-01-22
Jeremy Bates,78,1990-01-22
Franco Davin,79,1990-01-22
Derrick Rostagno,80,1990-01-22
Petr Korda,81,1990-01-22
Johan Kriek,82,1990-01-22
Slobodan Zivojinovic,83,1990-01-22
Jimmy Brown,84,1990-01-22
Michael Stich,85,1990-01-22
Richard Matuszewski,86,1990-01-22
Milan Srejber,87,1990-01-22
Richard Fromberg,88,1990-01-22
Andrei Cherkasov,89,1990-01-22
Nicolas Pereira,90,1990-01-22
Leif Shiras,91,1990-01-22
Robert Seguso,92,1990-01-22
Tom Nijssen,93,1990-01-22
Alex Antonitsch,94,1990-01-22
Lars-Anders Wahlgren,95,1990-01-22
Gilad Bloom,96,1990-01-22
Peter Lundgren,97,1990-01-22
Mark Woodforde,98,1990-01-22
Pieter Aldrich,99,1990-01-22
Christian Bergstrom,100,1990-01-22
Johan Anderson,101,1990-01-22
Diego Perez,102,1990-01-22
John Fitzgerald,103,1990-01-22
Udo Riglewski,104,1990-01-22
Jason Stoltenberg,105,1990-01-22
Claudio Pistolesi,106,1990-01-22
Francesco Cancellotti,107,1990-01-22
Marian Vajda,108,1990-01-22
Cassio Motta,109,1990-01-22
Tim Wilkison,110,1990-01-22
Grant Connell,111,1990-01-22
Michael Tauson,112,1990-01-22
Mark Kratzmann,113,1990-01-22
Eduardo Bengoechea,114,1990-01-22
Andres Vysand,115,1990-01-22
Kelly Jones,116,1990-01-22
Patrik Kuhnen,117,1990-01-22
Thierry Tulasne,118,1990-01-22
Bruno Oresar,119,1990-01-22
Veli Paloheimo,120,1990-01-22
Martin Laurendeau,121,1990-01-22
Fernando Luna,122,1990-01-22
Horacio de la Pena,123,1990-01-22
Jose Francisco Altur,124,1990-01-22
Lars Jonsson,125,1990-01-22
Gary Muller,126,1990-01-22
Francisco Roig,127,1990-01-22
Roberto Azar,128,1990-01-22
Olivier Delaitre,129,1990-01-22
Diego Nargiso,130,1990-01-22
Markus Zoecke,131,1990-01-22
Thomas Hogstedt,132,1990-01-22
David Pate,133,1990-01-22
Broderick Dyke,134,1990-01-22
Leonardo Lavalle,135,1990-01-22
Nicklas Kulti,136,1990-01-22
Christian Saceanu,137,1990-01-22
Martin Wostenholme,138,1990-01-22
Eric Winogradsky,139,1990-01-22
Joey Rive,140,1990-01-22
Dan Cassidy,141,1990-01-22
Tarik Benhabiles,142,1990-01-22
Brad Drewett,143,1990-01-22
Henri Leconte,144,1990-01-22
Chris Pridham,145,1990-01-22
Simon Youl,146,1990-01-22
Gianluca Pozzi,147,1990-01-22
Simone Colombo,148,1990-01-22
Brad Pearce,149,1990-01-22
Marty Davis,150,1990-01-22
Todd Woodbridge,151,1990-01-22
Massimo Cierro,152,1990-01-22
Javier Frana,153,1990-01-22
Bong-Soo Kim,154,1990-01-22
Jeff Tarango,155,1990-01-22
Gustavo Giussani,156,1990-01-22
Nuno Marques,157,1990-01-22
Johan Carlsson,158,1990-01-22
Danie Visser,159,1990-01-22
Steve Guy,160,1990-01-22
Aki Rahunen,161,1990-01-22
Miguel Nido,162,1990-01-22
Alexander Mronz,163,1990-01-22
Mario Tabares,164,1990-01-22
Magnus Larsson,165,1990-01-22
Roberto Arguello,166,1990-01-22
Jose-Luis Aparisi,167,1990-01-22
Chris Bailey,168,1990-01-22
Jonathan Canter,169,1990-01-22
Neil Broad,170,1990-01-22
Nick Brown,171,1990-01-22
Ricki Osterthun,172,1990-01-22
Danilo Marcelino,173,1990-01-22
Joao Cunha-Silva,174,1990-01-22
