Player Name,Turned Pro,Plays,height,weight (lbs),Birthdate
oscar-burrieza-lopez,1994,"Right-Handed,Two-HandedBackhand",(170cm),145,(1975.07.22)
michael-russell,1998,"Right-Handed,Two-HandedBackhand",(173cm),155,(1978.05.01)
christian-vinck,1993,"Left-Handed,UnknownBackhand",(183cm),165,(1975.09.03)
arvind-parmar,1997,"Right-Handed,UnknownBackhand",(193cm),172,(1978.03.22)
mariano-hood,1993,"Left-Handed,UnknownBackhand",(178cm),155,(1973.08.14)
neville-godwin,1994,"Right-Handed,UnknownBackhand",(173cm),161,(1975.01.31)
barry-cowan,1991,"Left-Handed,UnknownBackhand",(188cm),172,(1974.08.25)
lior-mor,"
","Right-Handed,UnknownBackhand",(175cm),159,(1976.02.29)
filip-dewulf,1990,"Right-Handed,UnknownBackhand",(191cm),177,(1972.03.15)
michael-hill,1997,"Right-Handed,UnknownBackhand",(188cm),190,(1974.06.30)
tommy-robredo,1998,"Right-Handed,One-HandedBackhand",(180cm),165,(1982.05.01)
stefano-tarallo,1996,"Right-Handed,UnknownBackhand",(185cm),165,(1976.03.08)
julian-knowle,1992,"Left-Handed,UnknownBackhand",(188cm),165,(1974.04.29)
reginald-willems,1996,"Right-Handed,UnknownBackhand",(180cm),172,(1977.09.06)
mikhail-youzhny,1999,"Right-Handed,One-HandedBackhand",(183cm),160,(1982.06.25)
marcello-craca,1995,"Right-Handed,UnknownBackhand",(180cm),168,(1974.10.27)
fernando-gonzalez,1999,"Right-Handed,One-HandedBackhand",(183cm),180,(1980.07.29)
mark-nielsen,1997,"Right-Handed,UnknownBackhand",(185cm),187,(1977.10.08)
daniel-melo,1997,"Left-Handed,UnknownBackhand",(185cm),170,(1977.07.04)
vasilis-mazarakis,1999,"Right-Handed,UnknownBackhand",(178cm),159,(1980.02.09)
razvan-sabau,1993,"Right-Handed,UnknownBackhand",(185cm),167,(1977.06.18)
alejandro-hernandez,1995,"Right-Handed,UnknownBackhand",(180cm),175,(1977.10.01)
sergi-bruguera,1988,"Right-Handed,UnknownBackhand",(188cm),167,(1971.01.16)
salvador-navarro,1995,"Right-Handed,UnknownBackhand",(180cm),162,(1977.01.08)
jan-vacek,1999,"Right-Handed,UnknownBackhand",(198cm),203,(1976.05.10)
jose-acasuso,1999,"Right-Handed,One-HandedBackhand",(191cm),190,(1982.10.20)
marcelo-charpentier,1992,"Left-Handed,UnknownBackhand",(180cm),165,(1973.07.11)
mark-knowles,1992,"Right-Handed,UnknownBackhand",(191cm),195,(1971.09.04)
bjorn-phau,1999,"Right-Handed,One-HandedBackhand",(175cm),154,(1979.10.04)
daniel-elsner,1997,"Right-Handed,UnknownBackhand",(183cm),176,(1979.01.04)
irakli-labadze,1998,"Left-Handed,Two-HandedBackhand",(188cm),187,(1981.06.09)
olivier-rochus,1999,"Right-Handed,One-HandedBackhand",(168cm),143,(1981.01.18)
guillermo-coria,2000,"Right-Handed,Two-HandedBackhand",(175cm),152,(1982.01.13)
jan-frode-andersen,1997,"Left-Handed,Two-HandedBackhand",(191cm),187,(1972.08.29)
oscar-serrano,1996,"Right-Handed,One-HandedBackhand",(173cm),172,(1978.05.25)
andy-ram,1998,"Right-Handed,UnknownBackhand",(180cm),182,(1980.04.10)
nicolas-coutelot,1996,"Right-Handed,UnknownBackhand",(185cm),175,(1977.02.09)
clemens-trimmel,1997,"Right-Handed,UnknownBackhand",(185cm),182,(1978.06.08)
takao-suzuki,1995,"Right-Handed,UnknownBackhand",(175cm),160,(1976.09.20)
ivo-heuberger,1995,"Right-Handed,Two-HandedBackhand",(188cm),169,(1976.02.19)
nikolay-davydenko,1999,"Right-Handed,Two-HandedBackhand",(178cm),158,(1981.06.02)
martin-lee,1996,"Left-Handed,UnknownBackhand",(180cm),165,(1978.01.13)
albert-montanes,1999,"Right-Handed,One-HandedBackhand",(175cm),155,(1980.11.26)
yong-il-yoon,1996,"Right-Handed,UnknownBackhand",(175cm),140,(1973.09.23)
taylor-dent,1998,"Right-Handed,One-HandedBackhand",(188cm),195,(1981.04.24)
filippo-volandri,1997,"Right-Handed,One-HandedBackhand",(183cm),161,(1981.09.05)
diego-nargiso,1987,"Left-Handed,UnknownBackhand",(188cm),180,(1970.03.15)
diego-moyano,1997,"Right-Handed,One-HandedBackhand",(180cm),185,(1975.03.14)
alexandre-simoni,1997,"Right-Handed,UnknownBackhand",(188cm),172,(1979.07.02)
nicolas-thomann,1996,"Right-Handed,UnknownBackhand",(183cm),174,(1972.11.29)
