url,tournament_name,tournament_date,number_players,indoor_outdoor,surface,prize_money,unique_tournament_id
/en/tournaments/florence/310/overview,Florence,1992.06.08,32,Outdoor,Clay,"$260,000",florence//1992.06.08
/en/tournaments/rosmalen/440/overview,Rosmalen,1992.06.08,32,Outdoor,Grass,"$260,000",rosmalen//1992.06.08
/en/tournaments/genoa/306/overview,Genoa,1992.06.15,32,Outdoor,Clay,"$260,000",genoa//1992.06.15
/en/tournaments/manchester/7310/overview,Manchester,1992.06.15,32,Outdoor,Grass,"$260,000",manchester//1992.06.15
/en/tournaments/wimbledon/540/overview,London,1992.06.22,128,Outdoor,Grass,,london//1992.06.22
/en/tournaments/newport/315/overview,Newport,1992.07.06,32,Outdoor,Grass,"$200,000",newport//1992.07.06
/en/tournaments/gstaad/314/overview,Gstaad,1992.07.06,32,Outdoor,Clay,"$330,500",gstaad//1992.07.06
/en/tournaments/bastad/316/overview,Bastad,1992.07.06,32,Outdoor,Clay,"$260,000",bastad//1992.07.06
/en/tournaments/stuttgart/321/overview,Stuttgart,1992.07.13,48,Outdoor,Clay,"$1,040,000",stuttgart//1992.07.13
/en/tournaments/washington/418/overview,Washington,1992.07.13,56,Outdoor,Hard,"$625,000",washington//1992.07.13
/en/tournaments/toronto/421/overview,Toronto,1992.07.20,56,Outdoor,Hard,"$1,295,000",toronto//1992.07.20
/en/tournaments/kitzbuhel/319/overview,Kitzbuhel,1992.07.20,48,Outdoor,Clay,"$392,500",kitzbuhel//1992.07.20
/en/tournaments/hilversum/317/overview,Hilversum,1992.07.20,32,Outdoor,Clay,"$260,000",hilversum//1992.07.20
/en/tournaments/san-marino/475/overview,San Marino,1992.07.27,32,Outdoor,Clay,"$260,000",san marino//1992.07.27
/en/tournaments/barcelona/96/overview,Barcelona,1992.07.27,64,Outdoor,Clay,,barcelona//1992.07.27
/en/tournaments/los-angeles/423/overview,Los Angeles,1992.08.03,32,Outdoor,Hard,"$260,000",los angeles//1992.08.03
/en/tournaments/cincinnati/422/overview,Cincinnati,1992.08.10,56,Outdoor,Hard,"$1,405,000",cincinnati//1992.08.10
/en/tournaments/prague/379/overview,Prague,1992.08.10,32,Outdoor,Clay,"$365,000",prague//1992.08.10
/en/tournaments/indianapolis/419/overview,Indianapolis,1992.08.17,56,Outdoor,Hard,"$1,040,000",indianapless//1992.08.17
/en/tournaments/new-haven/420/overview,New Haven,1992.08.17,56,Outdoor,Hard,"$1,040,000",new haven//1992.08.17
/en/tournaments/umag/439/overview,Umag,1992.08.24,32,Outdoor,Clay,"$260,000",umag//1992.08.24
/en/tournaments/long-island/441/overview,Long Island,1992.08.24,32,Outdoor,Hard,"$260,000",long island//1992.08.24
/en/tournaments/schenectady/224/overview,Schenectady,1992.08.24,32,Outdoor,Hard,"$155,000",schenectady//1992.08.24
/en/tournaments/us-open/560/overview,New York,1992.08.31,128,Outdoor,Hard,,new york//1992.08.31
/en/tournaments/cologne/7300/overview,Cologne,1992.09.14,32,Outdoor,Clay,"$270,000",cologne//1992.09.14
/en/tournaments/bordeaux/323/overview,Bordeaux,1992.09.14,32,Outdoor,Clay,"$330,000",bordeaux//1992.09.14
/en/tournaments/basel/328/overview,Basel,1992.09.28,32,Indoor,Hard,"$775,000",basel//1992.09.28
/en/tournaments/palermo/325/overview,Palermo,1992.09.28,32,Outdoor,Clay,"$315,000",palermo//1992.09.28
