url,tournament_name,tournament_date,number_players,indoor_outdoor,surface,prize_money
/en/tournaments/moscow/438/overview,Moscow,1992.11.09,32,Indoor,Carpet,"$348,000"
/en/tournaments/sao-paulo/240/overview,Sao Paulo,1992.11.09,32,Outdoor,Hard,"$260,000"
/en/tournaments/atp-tour-world-championship/605/overview,,1992.11.16,8,Indoor,Carpet,"$2,500,000"
/en/tournaments/atp-tour-world-doubles-championship/602/overview,"Johannesburg, South Africa",1992.11.16,0,Outdoor,Hard,"$1,000,000"
/en/tournaments/munich/604/overview,"Munich, Germany",1992.12.08,16,Indoor,Carpet,"$6,000,000"
/en/tournaments/doha/451/overview,Doha,1994.01.03,32,Outdoor,Hard,"$525,000"
/en/tournaments/adelaide/7308/overview,Adelaide,1994.01.03,32,Outdoor,Hard,"$313,750"
/en/tournaments/oahu/517/overview,Oahu,1994.01.03,32,Outdoor,Hard,"$313,750"
/en/tournaments/auckland/301/overview,Auckland,1994.01.10,32,Outdoor,Hard,"$313,750"
/en/tournaments/jakarta/494/overview,Jakarta,1994.01.10,32,Outdoor,Hard,"$313,750"
/en/tournaments/sydney/338/overview,Sydney,1994.01.10,32,Outdoor,Hard,"$313,750"
/en/tournaments/australian-open/580/overview,Melbourne,1994.01.17,128,Outdoor,Hard,
/en/tournaments/dubai/495/overview,Dubai,1994.01.31,32,Outdoor,Hard,"$1,038,750"
/en/tournaments/marseille/496/overview,Marseille,1994.01.31,32,Indoor,Carpet,"$538,750"
/en/tournaments/san-jose/424/overview,San Jose,1994.01.31,32,Indoor,Hard,"$313,750"
/en/tournaments/milan/408/overview,Milan,1994.02.07,32,Indoor,Carpet,"$813,750"
/en/tournaments/memphis/402/overview,Memphis,1994.02.07,48,Indoor,Hard,"$800,000"
/en/tournaments/stuttgart/357/overview,Stuttgart,1994.02.14,32,Indoor,Carpet,"$2,250,000"
/en/tournaments/philadelphia/401/overview,Philadelphia,1994.02.14,32,Indoor,Carpet,"$713,750"
/en/tournaments/rotterdam/407/overview,Rotterdam,1994.02.21,32,Indoor,Carpet,"$600,000"
/en/tournaments/mexico-city/807/overview,Mexico City,1994.02.21,32,Outdoor,Clay,"$325,000"
/en/tournaments/scottsdale/433/overview,Scottsdale,1994.02.21,32,Outdoor,Hard,"$313,750"
/en/tournaments/indian-wells/404/overview,Indian Wells,1994.02.28,56,Outdoor,Hard,"$1,720,000"
/en/tournaments/copenhagen/481/overview,Copenhagen,1994.02.28,32,Indoor,Carpet,"$213,750"
/en/tournaments/miami/403/overview,Miami,1994.03.07,96,Outdoor,Hard,"$1,875,000"
/en/tournaments/zaragoza/497/overview,Zaragoza,1994.03.07,32,Indoor,Carpet,"$225,000"
/en/tournaments/casablanca/360/overview,Casablanca,1994.03.14,32,Outdoor,Clay,"$213,750"
/en/tournaments/osaka/498/overview,Osaka,1994.03.28,32,Outdoor,Hard,"$650,000"
/en/tournaments/estoril/468/overview,Estoril,1994.03.28,32,Outdoor,Clay,"$525,000"
/en/tournaments/sun-city/6815/overview,Sun City,1994.03.28,32,Outdoor,Hard,"$313,750"
/en/tournaments/tokyo/329/overview,Tokyo,1994.04.04,56,Outdoor,Hard,"$1,053,750"
/en/tournaments/barcelona/425/overview,Barcelona,1994.04.04,56,Outdoor,Clay,"$900,000"
